"(Intercept)"	"HareIndex"	"iem.summ.rain.10"	"iem.summ.temp"	"MooseDensity"	"HareIndex:iem.summ.temp"	"iem.summ.temp:MooseDensity"	"PropPtarmagin"	"PropHare"	"PropMoose"	"df"	"logLik"	"AICc"	"delta"	"weight"
"64"	0.283215954219876	-0.0173114990152958	0.0421697406627667	0.135145420671918	-0.182171088260712	NA	NA	NA	0.126785601860789	0.0146865252343807	10	-2966.27984849804	5952.63651263854	8.55640084977495	0.00149046799676102
"333"	0.289146331480924	NA	NA	0.0932876016566651	-0.198126647139741	NA	-0.0275483609406317	3.22496915643577	NA	NA	8	-2968.30748040371	5952.66520505027	8.58509326150033	0.00146923808450938
"63"	0.286268306947735	NA	0.0417228600163886	0.134164172628152	-0.181090476348899	NA	NA	NA	0.111343314870574	-0.0298281489877411	9	-2967.33880055243	5952.74042832998	8.66031654121434	0.00141500394164631
"128"	0.268602935416314	-0.017324760830826	0.0425485533253094	0.13681606903213	-0.182217845188384	NA	NA	3.30012948462622	0.144802474106269	0.0402049861115991	11	-2965.36927090316	5952.83075277383	8.75064098506391	0.00135252077867636
"334"	0.286811219598805	-0.0161614706231505	NA	0.0935791710806295	-0.198709572777307	NA	-0.0268908689122428	3.21742421430017	NA	NA	9	-2967.38527244186	5952.83337210885	8.75326032007979	0.00135075058559392
"127"	0.271631464754362	NA	0.0421004434894717	0.135829224180496	-0.181137145202828	NA	NA	3.30618196274688	0.129329334977322	-0.00433008225036427	10	-2966.4299406347	5952.93669691186	8.85658512309237	0.00128273950064203
"13"	0.30069645296068	NA	NA	0.0851685925639433	-0.180420152221948	NA	NA	NA	NA	NA	6	-2970.54876642326	5953.12682154946	9.04670976068792	0.00116641589195606
"14"	0.298299496296288	-0.0167256944829198	NA	0.0856468527186625	-0.181461113605802	NA	NA	NA	NA	NA	7	-2969.56107802699	5953.16122127894	9.08110949017464	0.00114652524495953
"77"	0.286969666675082	NA	NA	0.0863007227084341	-0.180467014040426	NA	NA	3.21229067337994	NA	NA	7	-2969.69694103335	5953.43294729168	9.35283550291024	0.00100087321689121
"78"	0.284604509001008	-0.0167297206531783	NA	0.0867822589345997	-0.181507892135371	NA	NA	3.20485535273801	NA	NA	8	-2968.70867848573	5953.4676012143	9.38748942553229	0.000983680504254242
"285"	0.301626141714662	NA	NA	0.0921092834548131	-0.198035028410835	NA	-0.0274569023669161	NA	0.0841296756770034	NA	8	-2969.16600341209	5954.38225106703	10.3021392782584	0.000622644809611246
"301"	0.303042370743221	NA	NA	0.0921457519160089	-0.198031755917076	NA	-0.0274634465655484	NA	NA	-0.0271493769745708	8	-2969.16854231548	5954.38732887382	10.3072170850473	0.000621065979687012
"286"	0.29903227887885	-0.0161689326168931	NA	0.0923923657353518	-0.198619407940324	NA	-0.0267981919762943	NA	0.0987528644768279	NA	9	-2968.24311983742	5954.54906689998	10.4689551112078	0.000572818155210087
"302"	0.300478247867918	-0.0161603424908526	NA	0.0924270592394372	-0.198612108728986	NA	-0.0268043038111494	NA	NA	0.0158473568428109	9	-2968.24669375587	5954.55621473686	10.4761029480924	0.000570774603759394
"349"	0.287603114047652	NA	NA	0.0932502900622327	-0.198132207192781	NA	-0.0275416356173991	3.22712798325199	0.0998660884929294	NA	9	-2968.30379894604	5954.67042511722	10.5903133284464	0.000539093595322793
"365"	0.28915570438532	NA	NA	0.0932879413930143	-0.198126780942448	NA	-0.0275484431919083	3.22495540578842	NA	-0.0020397542346148	9	-2968.30748009387	5954.67778741287	10.5976756241052	0.000537112760214783
"350"	0.285040135281721	-0.0161725715438828	NA	0.0935364934571713	-0.19871638100883	NA	-0.0268826754705743	3.21989941895935	0.11448960052835	NA	10	-2967.38040779322	5954.8376312289	10.7575194401325	0.000495856289697826
"366"	0.286622770678902	-0.0161637875624026	NA	0.0935723647293824	-0.198706965951689	NA	-0.0268891211243443	3.21769878348189	NA	0.0409294987283925	10	-2967.38514702847	5954.84710969941	10.7669979106358	0.000493511869856535
"29"	0.299265911143043	NA	NA	0.0851361060854397	-0.180429138274477	NA	NA	NA	0.0931684564703414	NA	7	-2970.54559555335	5955.13025633167	11.0501445429054	0.000428364125688257
