Shrub ID,Pith
151-2-B-BENA,0.097
151-2-B-BENA,0.075
151-3-A-BENA,0.058
151-3-A-BENA,0.098
151-3-A-BENA,0.076
151-3-A-BENA,0.126
151-3-C-BENA,0.405
151-3-C-BENA,0.124
151-3-C-BENA,0.245
151-3-C-BENA,0.368
151-4-A-BENA,0.133
151-4-A-BENA,0.122
151-4-A-BENA,0.169
151-4-A-BENA,0.164
151-4-B-SAPU,0.556
151-4-B-SAPU,0.691
151-4-B-SAPU,0.532
151-4-B-SAPU,0.573
151-4-D-BENA,0.152
151-4-D-BENA,0.12
151-4-D-BENA,0.13
151-4-D-BENA,0.115
158-1-A-SAPU,0.74
158-1-A-SAPU,0.465
158-1-A-SAPU,0.681
158-1-A-SAPU,0.448
158-1-B-BENA,0.082
158-1-B-BENA,0.08
158-1-B-BENA,0.117
158-1-B-BENA,0.079
158-1-C-SAPU,0.223
158-1-C-SAPU,0.352
158-1-C-SAPU,0.267
158-1-C-SAPU,0.336
158-1-D-BENA,
158-1-D-BENA,0.305
158-1-D-BENA,0.203
158-1-D-BENA,0.117
158-1-D-SAGL,0.185
158-1-D-SAGL,0.231
158-1-D-SAGL,0.215
158-1-D-SAGL,0.22
158-2-B-BENA,0.094
158-2-B-BENA,0.193
158-2-B-BENA,0.115
158-2-B-BENA,0.161
158-2-C-BENA,0.1
158-2-C-BENA,0.16
158-2-C-BENA,0.131
158-2-C-BENA,0.155
158-2-C-SAPU,0.359
158-2-C-SAPU,0.459
158-2-C-SAPU,0.357
158-2-C-SAPU,0.425
158-2-D-SAPU,0.148
158-2-D-SAPU,0.156
158-2-D-SAPU,0.163
158-2-D-SAPU,0.152
158-3-A-BENA,0.229
158-3-A-BENA,0.171
158-3-A-BENA,0.283
158-3-A-BENA,0.158
158-3-A-SAPU,0.181
158-3-A-SAPU,0.207
158-3-A-SAPU,0.173
158-3-A-SAPU,0.181
158-3-B-SAPU,0.261
158-3-B-SAPU,0.282
158-3-B-SAPU,0.236
158-3-B-SAPU,
158-3-D-BENA,0.149
158-3-D-BENA,0.182
158-3-D-BENA,0.171
158-3-D-BENA,0.156
158-4-A-BENA,0.113
158-4-A-BENA,0.155
158-4-A-BENA,0.134
158-4-A-BENA,0.113
158-4-C-BENA,0.127
158-4-C-BENA,0.069
158-4-C-BENA,0.101
158-4-C-BENA,0.061
158-4-C-SAPU,0.334
158-4-C-SAPU,0.36
158-4-C-SAPU,0.335
158-4-C-SAPU,
173-1-A-BENA,0.174
173-1-A-BENA,0.113
173-1-A-BENA,0.149
173-1-A-BENA,0.128
173-1-A-SAPU,0.404
173-1-A-SAPU,0.573
173-1-A-SAPU,0.451
173-1-A-SAPU,0.605
173-1-B-BENA,0.092
173-1-B-BENA,0.138
173-1-B-BENA,0.12
173-1-B-BENA,0.093
173-1-B-SAPU,0.241
173-1-B-SAPU,0.357
173-1-B-SAPU,0.267
173-1-B-SAPU,0.293
173-2-A-BENA,0.104
173-2-A-BENA,0.087
173-2-A-BENA,0.143
173-2-A-BENA,0.133
173-2-C-BENA,0.116
173-2-C-BENA,0.098
173-2-C-BENA,0.115
173-2-C-BENA,0.133
173-2-C-SAPU,0.169
173-2-C-SAPU,0.349
173-2-C-SAPU,0.271
173-2-C-SAPU,0.291
173-2-D-SAPU,0.518
173-2-D-SAPU,0.372
173-2-D-SAPU,0.464
173-2-D-SAPU,0.386
173-3-A-SAPU,0.463
173-3-A-SAPU,0.376
173-3-A-SAPU,0.419
173-3-A-SAPU,0.306
173-3-B-BENA,0.102
173-3-B-BENA,0.138
173-3-B-BENA,0.129
173-3-B-BENA,0.1
173-3-B-SAPU,0.339
173-3-B-SAPU,0.357
173-3-B-SAPU,0.293
173-3-B-SAPU,0.325
173-3-C-BENA,0.064
173-3-C-BENA,0.097
173-3-C-BENA,0.11
173-3-C-BENA,0.078
173-4-B-BENA,0.18
173-4-B-BENA,0.156
173-4-B-BENA,0.18
173-4-B-BENA,0.136
173-4-B-SAPU,0.31
173-4-B-SAPU,0.31
173-4-B-SAPU,0.343
173-4-B-SAPU,0.32
173-4-C-BENA,0.092
173-4-C-BENA,0.108
173-4-C-BENA,0.105
173-4-C-BENA,0.204
173-4-C-SAPU,0.411
173-4-C-SAPU,0.34
173-4-C-SAPU,0.456
173-4-C-SAPU,0.29
184-1-A-SAPU,0.346
184-1-A-SAPU,0.376
184-1-A-SAPU,0.393
184-1-A-SAPU,0.353
184-1-B-BENA,0.385
184-1-B-BENA,0.252
184-1-B-BENA,0.359
184-1-B-BENA,0.352
184-1-C-BENA,0.151
184-1-C-BENA,0.107
184-1-C-BENA,0.126
184-1-C-BENA,0.111
184-1-C-SAPU,0.297
184-1-C-SAPU,0.387
184-1-C-SAPU,0.375
184-1-C-SAPU,0.4
184-2-A-BENA,0.132
184-2-A-BENA,0.234
184-2-A-BENA,0.177
184-2-A-BENA,0.196
184-2-A-SAPU,0.166
184-2-A-SAPU,0.265
184-2-A-SAPU,0.215
184-2-A-SAPU,0.232
184-2-D-BENA,0.083
184-2-D-BENA,0.131
184-2-D-BENA,0.067
184-2-D-BENA,0.176
184-2-D-SAPU,0.233
184-2-D-SAPU,0.223
184-2-D-SAPU,0.267
184-2-D-SAPU,0.217
184-3-B-BENA,
184-3-B-BENA,0.111
184-3-B-BENA,0.192
184-3-B-BENA,0.101
184-3-C-SAPU,0.387
184-3-C-SAPU,0.475
184-3-C-SAPU,0.429
184-3-C-SAPU,0.555
184-3-D-BENA,0.089
184-3-D-BENA,0.115
184-3-D-BENA,0.055
184-3-D-BENA,0.057
184-3-D-SAPU,0.264
184-3-D-SAPU,0.359
184-3-D-SAPU,0.289
184-3-D-SAPU,0.284
184-4-C-SAPU,0.313
184-4-C-SAPU,0.398
184-4-C-SAPU,0.376
184-4-C-SAPU,0.348
184-4-D-SAPU,0.291
184-4-D-SAPU,0.302
184-4-D-SAPU,0.326
184-4-D-SAPU,0.289
191-1-B-SAPU,0.324
191-1-B-SAPU,0.389
191-1-B-SAPU,0.372
191-1-B-SAPU,0.367
191-1-C-BENA,0.116
191-1-C-BENA,0.116
191-1-C-BENA,0.123
191-1-C-BENA,0.204
191-1-C-SAPU,0.437
191-1-C-SAPU,0.463
191-1-C-SAPU,0.488
191-1-C-SAPU,0.394
191-1-D-BENA,0.097
191-1-D-BENA,0.097
191-1-D-BENA,0.102
191-1-D-BENA,0.136
191-2-A-BENA,0.081
191-2-A-BENA,0.098
191-2-A-BENA,0.102
191-2-A-BENA,0.106
191-2-A-SAPU,0.355
191-2-A-SAPU,0.464
191-2-A-SAPU,0.434
191-2-A-SAPU,0.44
191-2-B-BENA,0.172
191-2-B-BENA,0.105
191-2-B-BENA,0.168
191-2-B-BENA,0.123
191-2-B-SAPU,0.449
191-2-B-SAPU,0.594
191-2-B-SAPU,0.41
191-2-B-SAPU,0.547
191-3-A-BENA,0.134
191-3-A-BENA,
191-3-A-BENA,0.126
191-3-A-BENA,0.118
191-3-A-SAPU,0.342
191-3-A-SAPU,0.352
191-3-A-SAPU,0.343
191-3-A-SAPU,0.344
