ShrubID,Radius
158-4-A-BENA,7.366
158-4-A-BENA,7.624
158-4-C-BENA,5.738
158-4-C-BENA,5.047
158-4-C-BENA,5.41
158-4-C-BENA,4.835
158-4-C-SAPU,11.87
158-4-C-SAPU,10.018
158-4-C-SAPU,10.52
158-4-C-SAPU,
173-1-A-BENA,3.843
173-1-A-BENA,4.631
173-1-A-BENA,4.821
173-1-A-BENA,3.389
173-1-A-SAPU,5.883
173-1-A-SAPU,6.371
173-1-A-SAPU,6.148
173-1-A-SAPU,5.925
173-1-B-BENA,4.052
173-1-B-BENA,4.546
173-1-B-BENA,4.226
173-1-B-BENA,4.074
173-1-B-SAPU,6.93
173-1-B-SAPU,6.478
173-1-B-SAPU,5.406
173-1-B-SAPU,5.768
173-2-A-BENA,5.134
173-2-A-BENA,5.755
173-2-A-BENA,3.775
173-2-A-BENA,4.693
173-2-C-BENA,5.714
173-2-C-BENA,5.002
173-2-C-BENA,4.47
173-2-C-BENA,5.744
173-2-C-SAPU,7.191
173-2-C-SAPU,6.15
173-2-C-SAPU,4.958
173-2-C-SAPU,6.12
173-2-D-SAPU,3.768
173-2-D-SAPU,4.369
173-2-D-SAPU,5.622
173-2-D-SAPU,4.331
173-3-A-SAPU,3.17
173-3-A-SAPU,3.178
173-3-A-SAPU,2.98
173-3-A-SAPU,2.889
173-3-B-BENA,4.241
173-3-B-BENA,4.427
173-3-B-BENA,6.086
173-3-B-BENA,5.051
173-3-B-SAPU,4.297
173-3-B-SAPU,4.683
173-3-B-SAPU,4.222
173-3-B-SAPU,4.839
173-3-C-BENA,2.439
173-3-C-BENA,2.814
173-3-C-BENA,2.49
173-3-C-BENA,2.82
173-4-B-BENA,4.152
173-4-B-BENA,5.123
173-4-B-BENA,5.894
173-4-B-BENA,5.389
173-4-B-SAPU,8.602
173-4-B-SAPU,8.581
173-4-B-SAPU,7.76
173-4-B-SAPU,8.693
173-4-C-BENA,5.887
173-4-C-BENA,5.896
173-4-C-BENA,5.913
173-4-C-BENA,5.946
173-4-C-SAPU,10.517
173-4-C-SAPU,11.311
173-4-C-SAPU,11.941
